HRR,Total Hospital Beds,Available Hospital Beds,Total ICU Beds,Available ICU Beds
"Miami, FL",9139,2952,981,280
"Milwaukee, WI",5263,2207,818,323
"Minneapolis, MN",6954,2458,612,238
"Minot, ND",916,384,19,9
"Missoula, MT",1002,455,79,39
"Mobile, AL",2066,695,282,101
"Modesto, CA",1478,467,118,44
"Monroe, LA",1064,561,102,36
"Montgomery, AL",1225,461,131,61
"Morgantown, WV",1555,499,155,40
"Morristown, NJ",1862,589,147,54
"Muncie, IN",377,129,36,8
"Munster, IN",1500,642,105,42
"Muskegon, MI",501,253,57,40
"Napa, CA",456,152,70,41
"Nashville, TN",7810,2987,1118,317
"Neenah, WI",447,262,46,25
"New Brunswick, NJ",2177,616,213,126
"New Haven, CT",2825,610,286,118
"New Orleans, LA",2491,869,313,77
"Newark, NJ",3636,1033,403,195
"Newport News, VA",905,251,145,45
"Norfolk, VA",2543,782,276,82
"Ocala, FL",902,289,150,51
"Odessa, TX",1014,543,101,38
"Ogden, UT",750,371,110,42
"Oklahoma City, OK",5541,2447,582,225
"Olympia, WA",558,173,84,25
"Omaha, NE",4017,1742,449,184
"Orange County, CA",5813,2236,690,293
"Orlando, FL",10004,3292,1284,448
"Ormond Beach, FL",872,359,158,63
"Owensboro, KY",390,175,36,14
"Oxford, MS",835,344,29,15
"Paducah, KY",1490,779,117,57
"Palm Springs/Rancho Mira, CA",974,404,69,23
"Paterson, NJ",1164,527,84,12
"Pensacola, FL",2001,755,230,91
"Peoria, IL",1725,643,156,71
"Petoskey, MI",476,178,68,22
"Philadelphia, PA",10697,3634,1257,546
"Phoenix, AZ",6977,2567,957,416
"Pittsburgh, PA",8133,2738,1079,420
"Pontiac, MI",911,321,95,49
"Portland, ME",2524,710,209,92
"Portland, OR",4684,1737,661,278
"Providence, RI",2249,690,293,82
"Provo, UT",941,387,122,52
"Pueblo, CO",615,238,28,7
"Raleigh, NC",3560,1124,375,160
"Rapid City, SD",878,343,46,20
"Reading, PA",1329,559,99,50
"Redding, CA",786,284,109,58
"Reno, NV",1886,660,406,128
"Richmond, VA",4478,1488,465,144
"Ridgewood, NJ",814,275,83,35
"Roanoke, VA",2189,593,272,113
"Rochester, MN",1835,594,240,90
"Rochester, NY",3766,827,289,87
"Rockford, IL",1320,613,199,96
"Rome, GA",733,229,74,16
"Royal Oak, MI",2781,858,324,97
"Sacramento, CA",4381,1315,616,224
"Saginaw, MI",2396,962,208,63
"Salem, OR",487,154,64,10
"Salinas, CA",740,290,70,37
"Salisbury, MD",598,187,59,26
"Salt Lake City, UT",3999,1804,526,277
"San Angelo, TX",584,323,35,17
"San Antonio, TX",6234,2477,747,216
"San Bernardino, CA",5691,2125,690,231
"San Diego, CA",6178,1949,802,358
"San Francisco, CA",3776,1139,439,203
"San Jose, CA",2547,916,341,146
"San Luis Obispo, CA",390,202,54,33
"San Mateo County, CA",1555,452,198,88
"Santa Barbara, CA",858,246,82,35
"Santa Cruz, CA",359,169,22,6
"Santa Rosa, CA",1272,306,93,45
"Sarasota, FL",1309,604,159,77
"Savannah, GA",2050,650,163,55
"Sayre, PA",591,215,62,28
"Scranton, PA",782,324,65,31
"Seattle, WA",4700,1366,651,209
"Shreveport, LA",2468,1080,283,111
"Sioux City, IA",909,362,59,23
"Sioux Falls, SD",4065,1653,103,52
"Slidell, LA",536,338,137,70
"South Bend, IN",1273,551,148,70
"Spartanburg, SC",809,280,125,65
"Spokane, WA",3652,1657,355,134
"Springdale, AR",1144,616,135,73
"Springfield, IL",2426,1172,213,79
"Springfield, MA",1588,500,195,73
"Springfield, MO",2078,819,226,67
"St. Cloud, MN",898,227,45,16
"St. Joseph, MI",393,238,20,9
"St. Louis, MO",10187,4326,1180,547
"St. Paul, MN",1604,582,183,48
"St. Petersburg, FL",1424,613,139,33
"Stockton, CA",918,329,121,41
"Sun City, AZ",845,364,119,81
"Syracuse, NY",3062,950,243,77
"Tacoma, WA",1388,366,197,62
"Takoma Park, MD",1181,294,150,48
"Tallahassee, FL",2242,603,193,50
"Tampa, FL",4005,1289,515,165
"Temple, TX",985,390,162,50
"Terre Haute, IN",468,207,64,37
"Texarkana, AR",656,383,90,62
"Toledo, OH",2679,1122,456,179
"Topeka, KS",1304,594,112,49
"Traverse City, MI",756,293,26,7
"Tucson, AZ",2677,1184,335,161
"Tulsa, OK",4185,1783,486,159
"Tupelo, MS",1634,818,104,61
"Tuscaloosa, AL",1066,297,143,37
"Tyler, TX",1338,527,224,127
"Urbana, IL",1047,480,99,54
"Ventura, CA",1087,278,163,94
"Victoria, TX",574,352,46,18
"Waco, TX",720,261,60,24
"Washington, DC",5055,1595,601,218
"Waterloo, IA",668,340,36,19
"Wausau, WI",403,152,72,45
"White Plains, NY",2973,597,243,137
"Wichita Falls, TX",516,298,24,8
"Wichita, KS",4590,2225,442,202
"Wilkes-Barre, PA",651,263,102,24
"Wilmington, DE",1845,601,237,62
"Wilmington, NC",1005,251,90,17
"Winchester, VA",1051,357,84,22
"Winston-Salem, NC",2870,843,499,40
"Worcester, MA",1525,425,169,43
"Yakima, WA",369,200,58,33
"York, PA",868,267,79,8
"Youngstown, OH",1555,543,158,66
